Titulo,Empresa,Local,Data,Categoria
Ecónomo,IDEIAS VIRTUOSAS - LDA,Faro,12-9-2024,Restauração / Bares / Pastelarias
Medidor Orçamentista,SOCODEFIL Lda,Lisboa,12-9-2024,Construção Civil
Técnico(a) de Recursos Humanos Payroll,"EXPERT PREMIUM - INVESTIMENTS, LDA",Lisboa,12-9-2024,Contabilidade / Finanças
Gestor(a) Clientes - Marcação de Consultas - Corporacion Dermoestética,Corporación Dermoestética,Lisboa,12-9-2024,Comercial / Vendas
Técnico de contabilidade - Accounting Manager,MILHINHOS CONSULTORES LDA,Faro,12-9-2024,Contabilidade / Finanças
Procuramos um(a) Gestor(a) de Frota Automóvel,"Boxer, Lda.",Lisboa,12-9-2024,Comercial / Vendas
Técnico de Manutenção,OPORTO BRITISH SCHOOL,Porto,12-9-2024,Conservação / Manutenção / Técnica
Recrutamos Técnico de Sistemas  (Linha de Sintra),Anónimo,Lisboa,12-9-2024,Informática ( Formação )
Funerária em Cascais - Operador de Serviço Funerário,Anónimo,Lisboa,12-9-2024,Serviços Técnicos
Admite-se Assistente Administrativo Financeiro,Fundação CAJIL,Lisboa,12-9-2024,Contabilidade / Finanças
Gestor Condomínios (Sintra/Amadora/Oeiras/Lisboa),BestPlusGold Lda,Lisboa,12-9-2024,Administração / Secretariado
Procuramos Técnico Superior Profissional / Gestor de Obra em Construção Civil (Portalegre e Nisa),"Nova Gente SGPS, SA",Portalegre,12-9-2024,Construção Civil
Procuramos Encarregado de Construção Civil - Portalegre / Nisa,"Nova Gente SGPS, SA",Portalegre,12-9-2024,Construção Civil
Serralheiro Civil,Anónimo,Lisboa,12-9-2024,Indústria / Produção
Técnico de Pagamentos (Recrutamento inclusivo),Wamos Portugal SA,Lisboa,12-9-2024,Contabilidade / Finanças
Recrutamos Coordenador de Serviços Técnicos (Linha de Sintra),Anónimo,Lisboa,12-9-2024,Engenharia ( Eletrotecnica )
Técnico para Serviços de Assistência (M/F) - ZONA ALVERCA,ELECTRO PORTUGAL,Lisboa,12-9-2024,Serviços Técnicos
Instrutor fitness - Aulas de grupo e PT's - Paços de Ferreira (Porto),MA Fit Club,Porto,12-9-2024,Desporto / Ginásios
